barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
e2c28e5ee258e8d298a1f88bf9efe290,"Maasika-banaani smuuti PAI, 280ml",PAI,280ml,4740029052715,"Mango-banaani smuuti, PAI, 280 ml",Pai,280 ml,4740029052715,prisma,0.8108,0.0,medium
e78d0d352ccb75009a1795b299e76633,Multimahlajook PÕLTSAMAA 1L,PÕLTSAMAA,1L,4740029050070,Põltsamaa multimahlajook 1L,Põltsamaa,1 l,4740029050070,prisma,1.0,0.0,strong
e7aab080263475254d26554ee3db1dc5,Kirsijook AURA 1L,AURA,1L,4740098076698,Aura kirsijook 1L,Aura,1 l,4740098076698,prisma,1.0,0.0,strong
e7e6c41d27433f6d75cdf088f288dcd6,"Roheline jäätee NESTEA Sidruni 1,5l",NESTEA,5l,5900334003461,"Nestea roheline jäätee tsitrusega 1,5L",Nestea,1.5 l,5900334003461,prisma,0.8732,70.0,medium
e7e720ee671762933039cba9373557de,"Kohuke ALMA vanilli, 40g",ALMA,40g,4740125639100,Alma kohuke vanilli kakaoglasuuris 40g,Alma,40 g,4740125639100,prisma,0.7692,0.0,medium
e898a9b7a6b03269c94bb99bef3e444e,"Lõhetükid tomatikast. Kapten Grant,230g",KAPTEN GRANT,230g,4740687001841,Kapten Grant lõhetükid tomatikastmes 230g,Kapten Grant,230 g,4740687001841,prisma,0.8837,0.0,medium
eaac2df9575e71007fa3bf58b974470d,"Margariin DELMA Extra 39%, 450g",DELMA,450g,8719200240513,"Margariin Extra 39%, DELMA, 450 g",Delma,450 g,8719200240513,prisma,0.9123,0.0,strong
eaac2df9575e71007fa3bf58b974470d,"Margariin DELMA Extra 39%, 450g",DELMA,450g,8719200240728,"Margariin soolane poolrasvane 39%, DELMA, 450 g",Delma,450 g,8719200240728,prisma,0.7843,0.0,medium
eb19df62cd72923e216c68a8aadae090,Rumm CAPTAIN MORGAN Dark 40% 500ml,CAPTAIN MORGAN,500ml,87000651289,Captain Morgan Dark rumm 40%vol 500ml,Captain Morgan,500 ml,87000651289,prisma,0.9577,0.0,strong
ed0257bfd32d5f7c60055afffdf359c7,Pesto Rosso BARILLA 200g,BARILLA,200g,8076809523547,"Barilla pesto rosso, 200g",Barilla,200 g,8076809523547,prisma,0.9796,0.0,strong
ed23d45445756a60bbb2f4ad5dd03633,"Põdraliha konserv LINNAMÄE, 240g",LINNAMÄE,240g,4740618000684,"Põdraliha konserv, LINNAMÄE LIHATÖÖSTUS, 240 g",Linnamäe,240 g,4740618000684,prisma,0.7848,0.0,medium
ed83232888d52756a6cc4440c7b9f764,Külm.pitsaRISTORANTE Mozzarella g.v.370g,DR.OETKER,,4001724039112,Dr.Oetker pitsa mozzarella 355g,Dr.Oetker,355 g,4001724039112,prisma,0.7843,,medium
edb5df95a316afa8bcf675c53358216c,"Suitsupeekon MATSIMOKA,110g viil",MATSIMOKA,110g,4744735010984,"Matsimoka suitsupeekon viilutatud, 110g",Matsimoka,110 g,4744735010984,prisma,0.7901,0.0,medium
ee08f0ab5dd5ec8c933d1ae8a8edee08,Liköör MALIBU 21% 500ml,MALIBU,500ml,5010284100049,Malibu liköör 21%vol 500ml,Malibu,500 ml,5010284100049,prisma,0.9362,0.0,strong
ee593b3feae81ce22d7895e0d250de86,"Joogijogurt TERE metsmaasika, 900g",TERE,900g,4740036014218,"Joogijogurt metsmaasika, TERE, 900 g",Tere,900 g,4740036014218,prisma,0.9206,0.0,strong
