barbora_uid,barbora_name,barbora_brand,barbora_size,match_uid,match_name,match_brand,match_size,match_ean,store,similarity,size_diff_pct,tier
d3de22b61ca7ad799c56042d19670ea7,Jõhvika mahlajook PÕLTSAMAA 2L,PÕLTSAMAA,2L,,Jõhvika mahlajook Põltsamaa 2l,Põltsamaa,2l,,rimi,1.0,0.0,strong
d3f34f3cea042d93807c405effdcb7f0,"Suit.seakaelakarbonaad RAKVERE,130g viil",RAKVERE,130g,,Seakaelakarbonaad suitsutatud Rakvere 130g,Rakvere,130g,,rimi,0.7111,0.0,weak
d428fcf525795d80e8bb49d04514779c,Viin ABSOLUT Vodka 40% 500 ml,ABSOLUT,500 ml,,"Viin Absolut 40% 0,5l",Absolut,"0,5l",,rimi,0.8649,0.0,medium
d481e2929c7905e1cd274c6b98872fd0,"Lastevorst WÕRO, 600g",WÕRO,600g,,Lastevorst Wõro 600g,Wõro,600g,,rimi,1.0,0.0,strong
d4af2d5197bf3c94d2442cc55cf98c6b,"Puding ALMA šokolaadi-metsapähkli, 230g",ALMA,230g,,Puding šokolaadi-metsapähkli Alma 230g,Alma,230g,,rimi,0.9867,0.0,strong
d4f897e9465c4de09e55aaa331faef23,"Puding ALMA kookose, 230g",ALMA,230g,,Puding kookose Alma 230g,Alma,230g,,rimi,0.9796,0.0,strong
d52328ece17a3e01eb22f4884e44e2ff,Jahvatatud kohv LAVAZZA Espresso 250g,LAVAZZA,250,,Kohv jahvatatud Lavazza Espresso purgis 250g,Lavazza,250g,,rimi,1.0,,strong
d560ab775da4399cd28a5941afddc65c,"Majonees TARPLAN Provansaal 50%, 900g",TARPLAN,900g,,Majonees Provansaal Tarplan 900g,Tarplan,900g,,rimi,1.0,0.0,strong
d59278b735b21ea91b5517c044613b74,"P/s vorst Lihakas Krakov RAKVERE, 300g",RAKVERE,300g,,Krakov Lihakas 300g,Rakvere,300g,,rimi,1.0,0.0,strong
d5d2500396b83a0f089b0d1bbdfb551f,Muu piiritusjook METAXA 7* 40% 700ml,METAXA,700ml,,"Muu piiritusjook 7* Metaxa 40% 0,7l",Metaxa,"0,7l",,rimi,0.9275,0.0,strong
d5d94e639061b6327a6a3d132b5b0516,"Kodujuust ALMA hapukoorega, 380g",ALMA,380g,,Kodujuust hapukoorega Alma 7% 380g,Alma,380g,,rimi,0.9394,0.0,strong
d63c1a0d6857c21c036daefc12597b8c,"Juust Forte VALIO Superiore, 180g",VALIO FORTE,180g,,Juust Forte Superiore Valio 180g,Valio Forte,180g,,rimi,0.9846,0.0,strong
d6cf1831d9a85ac7a5809a75a0c0ded8,"Joogijogurt ALMA maasika-nektariini,900g",ALMA,900g,,Joogijogurt maasika-nektariini Alma 900g,Alma,900g,,rimi,0.875,0.0,medium
d6f1998ac4b411e310bc5903fcdf679c,"Täissuitsuvorst Eesti juustuga NÕO, 250g",NÕO,250g,,Täissuitsuvorst Ordu Nõo 250g,Nõo,250g,,rimi,0.9057,0.0,strong
d6f36385bcb3683c92662863f949c02d,Armeenia rahvusleib Lavaš 150g,KILIKIA,150g,,Armeenia rahvusleib Lavaš Kilikia 150g,Kilikia,150g,,rimi,1.0,0.0,strong
d71224272b766e62d9b945b6a4001d7e,Tomatimahl AURA 1L,AURA,1L,,Tomatimahl Aura 1l,Aura,1l,,rimi,1.0,0.0,strong
d7cc395238d5ec8ec362d75e794f2841,"Parmigiano-Reggiano cigar juust.,NÕO 85g",NÕO,85g,,Snäkkvorst Parmig.-Regg. juustug Nõo 85g,Nõo,85g,,rimi,0.6341,0.0,weak
d7dbd9c1f23fcd446f997cc6f6f124f2,"Keedusalaami Paruni NÕO, 90g viil",NÕO,90g,,Keedusalaami Paruni Nõo 90g,Nõo,90g,,rimi,1.0,0.0,strong
d7f91dcdc52eb7a7747b245ad63f02d6,Liköör JÄGERMEISTER 35% 500ml,JÄGERMEISTER,500ml,,"Liköör Jägermeister 35% 0,5l",Jägermeister,"0,5l",,rimi,0.9091,0.0,strong
d8012fb5b072949c097b7366263d0d11,"Marineeritud kukeseen, 500g",EESTI AND,500,,Kukeseened marineeritud Eesti And 500g/300g,Eesti And,500g,,rimi,0.9,,strong
d839a09532cf4eae26074a382c6a7efb,"Sealihasült OSKAR, 330g",OSKAR,330g,,Sealihasült Oskar 330g,Oskar,330g,,rimi,1.0,0.0,strong
d8742bce9e8c85e4880e546fdd0621cd,"Jäätis PREMIA vanilli-šokol.vahvlit.,70g",PREMIA,70g,,Koorejäätis vanilli- ja šokolaadi Premia 70g/140ml,Premia,70g,,rimi,0.6552,0.0,weak
d8763036725b2e82995e14a074f4b922,"Külm.mintai kalapulgad FINDUS, 420g",FINDUS,420g,,Kalapulgad mintai fileest Findus 420g,Findus,420g,,rimi,0.8354,0.0,medium
d88a978954e8754dcd53bc6655e6d7b5,Vermut MARTINI Bianco 15% 1L,MARTINI,1L,,Vermut Martini Bianco 15% 1l,Martini,1l,,rimi,1.0,0.0,strong
d8a17a222d9585603dacf9f0f358c69d,"Jäätis B&J Netflix, 405g",BEN&JERRY,405,,Jäätis Netflix B&J 465 ml/ 405g,Ben & Jerry,465 ml,,rimi,0.8696,,medium
d8c8155c67f18bafc8a975f03a56f044,"Hapukoor TERE 20% lak.vaba, 300g tops",TERE,300g,,Hapukoor Tere 30% 300g,Tere,300g,,rimi,0.9,0.0,strong
d949a1076b5dd105fa3eb616dc58abaa,"Majonees LEMMIK Provansaal Oliivi, 210g",LEMMIK,210g,,Majonees Oliivi Provansaal Lemmik 210g,Lemmik,210g,,rimi,0.987,0.0,strong
d9551a4d19219336fb185c0dea87e835,Viin VIRU VALGE 40% 350ml,VIRU VALGE,350,,Viin Viru Valge 40% 1l,Viru Valge,1l,,rimi,0.9268,,strong
d98e0b0834d839763f63dbc0a3b6f4b0,"Praetud räimed tomatikastmes,270g",BRIIS,270g,,Praetud räimed tomatikastmes Briis 270g,Briis,270g,,rimi,0.8718,0.0,medium
d9cef858686084192deb53a486e67435,"Tarretis JÄNKS vaarikamaitseline, 150g",JÄNKS,150g,,Tarretis vaarikamaitseline Jänks 150g,Jänks,150g,,rimi,0.9867,0.0,strong
da1e4cd4114ce22dafdb27c07b2b4d38,"Keele-želeevorst OSKAR, 120g viil",OSKAR,120g,,Keele-zeleevorst viil 120g,Oskar,120g,,rimi,0.7042,0.0,weak
da5312ecc49116278e3fbd3ec18699bd,Dessert KINDER Maxi King 3x35g,KINDER,3x35g,,Biskviitmaius Kinder Maxi King 3x35g,Kinder,3x35g,,rimi,0.8462,0.0,medium
daa76851c4ecd5424d04fe26135fabe2,"Delikatessrulaad TALLEGG, 500g",TALLEGG,500g,,Tallegg delikatessrulaad 500g,Tallegg,500g,,rimi,1.0,0.0,strong
daac9a20e2948c3f7b14680f2f534410,Viin VIRU VALGE 40% 1L,VIRU VALGE,1L,,Viin Viru Valge 40% 1l,Viru Valge,1l,,rimi,1.0,0.0,strong
dac31c7eb1754dc7cf750f350cd4871f,"Juust Forte VALIO Classico, 180g",VALIO FORTE,180g,,Juust Forte Classico Valio 180g,Valio Forte,180g,,rimi,0.9841,0.0,strong
dac5160255ef47da8799279fccafec1b,"Vürtsikilufileed VIRU RAND, 100g",VIRU RAND,100g,,Vürtskilufilee Viru Kala 100g,Viru Rand,100g,,rimi,0.8732,0.0,medium
daddc68d2c30b0bff40075060943c9cd,Perry SOMERSBY Pirni siider 4.5% 330ml,SOMERSBY,330ml,,"Perry Somersby Pear 4,5%vol 0,33l",Somersby,"0,33l",,rimi,0.7606,0.0,medium
daee9b2cb750957bc5b462c2c7104b5c,Viin KOSKENKORVA 40% 1L,KOSKENKORVA,1L,,Viin Koskenkorva 40%vol 1l,Koskenkorva,1l,,rimi,0.9388,0.0,strong
daf7382e435b5806fc15e7476ed6aa06,"Külmutatud pelmeenid EHE , 350g",RANNAROOTSI,350,,Mini-pelmeenid külmutatud Ehe 350g,Rannarootsi,350g,,rimi,0.9213,,strong
db35a2541c9b40633ea5e5055613f3e3,"Gin BEEFEATER Pink 37,5% 700ml",BEEFEATER,700ml,,"Gin Beefeater Pink 37,5% 0,7l",Beefeater,"0,7l",,rimi,0.9153,0.0,strong
db99daf868b8dee69454f3407a8df235,Lahustuv kohv Krönung JACOBS 100g,JACOBS,100g,,Kohv lahustuv Jacobs Kronung 100g,Jacobs,100g,,rimi,0.9697,0.0,strong
dbcc57aed92100105ce54ddc8c363975,"Suur sült Memme NÕO, 500g",NÕO,500g,,Suur sült sealihast Memme 500g,Nõo,500g,,rimi,0.9412,0.0,strong
dbd18dc6d36f49dba13f566c1f2c45e7,KPN v.vein JOHANN BRUNNER Ries.Mosel 3L,JOHANN BRUNNER,3L,,"Kaitstud päritolunimetusega vein Johann Brunner Riesling Mosel 9,5%vol 3l Valge#Poolkuiv#Riesling",Johann Brunner,3l,,rimi,0.6071,0.0,weak
dc0acc0550c74117338ef2b70a6d216b,Cognac HENNESSY VSOP 40% 700ml karp,HENNESSY,700ml,,"Cognac Hennessy VSOP 40% 0,7l",Hennessy,"0,7l",,rimi,0.9057,0.0,strong
dc0d67d7fc3fc771bddd738382b46c6a,"Seakõrvasnäkid NÕO,130g",NÕO,130g,,Seakõrvasnäkid Nõo 130g,Nõo,130g,,rimi,0.9583,0.0,strong
dc33890ecb05c562d6cafa2316474bc1,"Keefir GEFILUS õuna-banaani-laimi,1kg",VALIO GEFILUS,1kg,,Keefir Valio Gefilus 1kg,Valio Gefilus,1kg,,rimi,0.9091,0.0,strong
dc8c48f7e59abe330c301da17eb0fc35,Jahvatatud kohv Selection JACOBS 500g,JACOBS,500g,,Kohv jahvatatud Selection Intense Jacobs 500g,Jacobs,500g,,rimi,1.0,0.0,strong
dc91a900529028f90f17863f245f8d66,Jäätis kirsi vahvlikoon. LA MUU 80g,LA MUU,80g,,Kirsijäätis vahvlikoonuses La Muu 80g/130ml,La Muu,80g,,rimi,0.8158,0.0,medium
dd55b38311a6a2e3fb34bf3fb628ce21,"Külm.viineripirukas EESTI PAGAR, 360g",EESTI PAGAR,360,,Viineripirukas 360g,Eesti Pagar,360g,,rimi,0.8378,,medium
dd7aa90d7fbfef79a13eaf4d9a0faa98,"Delikatess-sink tailihast M&M,170g viil",MAKS & MOORITS,170g,,Delikatess tagasink M&M 170g,Maks & Moorits,170g,,rimi,0.6813,0.0,weak
dd7cc815aba5a2a06c0277105d9e56dd,"Jogurt ACTIVIA virsiku-müsliga, 4x120g",ACTIVIA,4x120g,,Jogurt virsik-müsli Activia 4x120g,Activia,4x120g,,rimi,0.9444,0.0,strong
ddbf104a778d6c0a137d842af5cfb8c3,Koorejogurt Muah barbarissi ALMA 180g,ALMA,180g,,Koorejogurt barbarissi Alma Muah 180g,Alma,180g,,rimi,1.0,0.0,strong
ddccafcd5dedcdcfa735b63728179d0e,Köögi toorjuust FARMI 400g,FARMI,400g,,Toorjuust köögi Farmi 400g,Farmi,400g,,rimi,1.0,0.0,strong
de0a82b422fabcca206838fadd6a6dbf,"Pühajärve sink M&M,300g",MAKS & MOORITS,300g,,Pühajärve sink Maks&Moorits 300g,Maks & Moorits,300g,,rimi,0.9412,0.0,strong
de1f06b089f77cd85ef38cfa0ff9c4b4,"Juust VALIO Edam, 200g",VALIO,200g,,Juust Edam 27% Valio 200g,Valio,200g,,rimi,0.8936,0.0,medium
de4e085262a097376a2bff180d8a8bfa,"Gruusia rahvusleib šothi KILIKIA, 330g",KILIKIA,330g,,Gruusia rahvusleib Šoti Kilikia 330g,Kilikia,330g,,rimi,0.9394,0.0,strong
de57d9a0abb4a13a6bebb2e8f7d09208,"Seahakkliha RAKVERE, 400g",RAKVERE,400g,,Seahakkliha Rakvere 400g,Rakvere,400g,,rimi,1.0,0.0,strong
de7ea9d451b5f1be46cdad81fbf42110,"Kreeka jogurt FARMI 10%, 370g",FARMI,370g,,Kreeka jogurt Farmi 370g,Farmi,370g,,rimi,1.0,0.0,strong
ded3d5ed3b0690c2e573799d12c443fe,Röstsai Tosta EESTI PAGAR 500g,EESTI PAGAR,500g,,Röstsai Tosta Eesti Pagar 500g,Eesti Pagar,500g,,rimi,1.0,0.0,strong
def8bef519ce3dfa67eeedf37a8bdc4c,Must tee Yellow Label LIPTON 25x2g,LIPTON,50,,Tee Must Yellow Label Lipton 25pk,Lipton,,,rimi,0.9254,,strong
df4ef954c1680ea09018e3361776a19e,Pagari kaeraröst EESTI PAGAR 430g,EESTI PAGAR,430g,,Pagari Kaeraröst Eesti Pagar 430g,Eesti Pagar,430g,,rimi,1.0,0.0,strong
df505029dfe79a2258377963417017c0,"Kodusardell M&M, 500g",MAKS & MOORITS,500g,,Kodusardell M&M 500g,Maks & Moorits,500g,,rimi,1.0,0.0,strong
