product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
125376,"Marineeritud angerjas, KALAMAJAKAS, 430g",KALAMAJAKAS OÜ,,Selver,,,meat_fish,fish_fresh,high
125377,"Silmud marinaadis, SPARO, 440 g",KARIA OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125378,"Lutsufilee tomatimarinaadis, PEIPSI KALATÖÖSTUS, 330 g",BALTIC PREMIER GROUP OÜ,,Selver,,,sweets_snacks,sweets_candies,medium
125379,"Lõhepasteet, DELAMARIS, 95 g",MAKRO TRADE BALTIC OÜ,,"Coop, Selver",,,drinks,drinks_tea_coffee,high
125380,"Praetud kohafilee koduses marinaadis, AVIKALA, 330g",AVIKALA OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125381,"Tuunikalatükid vees, ELDORADO, 185 g",KAUPMEES & KO AS,,Selver,,,meat_fish,fish_fresh,high
125382,"Kohafilee marinaadis, AVIKALA, 330g",AVIKALA OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125383,"Praetud ahvenafilee koduses marinaadis, AVIKALA, 330g",AVIKALA OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125384,"Tuunikalamääre, SELVER, kg",SELVER AS,,Selver,,,meat_fish,fish_fresh,high
125385,"Lõhe sinepikastmes, RANNAKÜLA, 120 g",MOBEC AS,,Selver,,,meat_fish,fish_fresh,high
125386,"Makrell tomatis, 3-pakk, FIRST PRICE, 375 g",SELVER AS,,Selver,,,meat_fish,fish_fresh,high
125387,"Säina Jäss marineeritud tilli, vürtside ja sibulaga, KALAMAJAKAS, 500 g",,,Selver,,,personal_care,pcare_feminine_hygiene,high
125388,"Kuumsuitsu kõhuääred, SELVER, kg",SELVER AS,,Selver,,,other,other,low
125389,"Vinnutatud kala valik, KODURANNA, 250 g",KODURANNA TRV OÜ,,Selver,,,meat_fish,fish_fresh,high
125390,"Vürtsikilufileed, KODURANNA, 100 g",KODURANNA TRV OÜ,,Selver,,,other,other,low
125391,"Lõhefilee kimchi marinaadis, SELVER, kg",SELVER AS,,Selver,,,sauces_oils,sauces_marinades,medium
125392,"Praetud heeringafilee tomati kastmes, VICI, 340 g",VIČIUNAI BALTIC OÜ,,Selver,,,meat_fish,fish_fresh,high
125393,"Praetud Atlandi heeringafilee marinaadis, VICI, 340 g",VIČIUNAI BALTIC OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125394,"Kuumsuitsu angerjas marinaadis, VÄNDRA KALATOOTED, 450 g",FOR ANGULA OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125395,"Sinepiheeringas, SELVER, kg",SELVER AS,,Selver,,,meat_fish,fish_fresh,high
125396,"Säina Jäss marineeritud punase peedi, vürtside ja sibulaga, KALAMAJAKAS, 500 g",,,Selver,,,personal_care,pcare_feminine_hygiene,high
125397,"Tuunikala soolvees, FIRST PRICE, 170g",SELVER AS,,Selver,,,world_spices,spices_basic_salt_pepper,high
125398,"Tuunikala õlis, FIRST PRICE, 170g",SELVER AS,,Selver,,,meat_fish,fish_fresh,high
125399,"Vinnutatud marinaadiräim, PÕLDOTSA TALU, 75 g",PÕLDOTSA GURMEE OÜ,,Selver,,,sauces_oils,sauces_marinades,medium
125400,"Vinnutatud veiniäädikaräim, PÕLDOTSA TALU, 75 g",PÕLDOTSA GURMEE OÜ,,Selver,,,drinks,drinks_wine,high
125401,"Vinnutatud vürtsikilu, PÕLDOTSA TALU, 75 g",PÕLDOTSA GURMEE OÜ,,Selver,,,other,other,low
125402,"Piim 2,5% kiles, FARMI, 1 L",FARMI PIIMATÖÖSTUS AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_milk,high
125403,"Piim 2,5% pure, ALMA, 1 L",,,Selver,,,dairy_eggs_fats,dairy_milk,high
125404,"Vahukoor 35%, ALMA, 400 ml",,,Selver,,,dairy_eggs_fats,dairy_cream_sourcream,high
