product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence,final_food_group,final_sub_code,final_confidence,change_reason
29126,Marmiton valge glasuuriga vahvlid 150 g,Marmiton,150 g,other,"Coop, Prisma, Rimi, Selver",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
29127,Spargel 250g,Spargel,250 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29171,Coop vahvli mix 300g,Coop,300 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29195,Mopi ühekordsed märjad lapid 12tk,Mopi,12 pcs,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29210,Coop Suhkrukeeks 350 G,Coop Suhkrukeeks,350 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
29224,Plekieemalduspliiats 6ml Mayeri All-Care,Plekieemalduspliiats,6 ml,other,Prisma,,dry_other,other,other,,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
29278,Karen volf brownie 144 g,Karen,144 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
29326,Waffa Sofi präänik Küla 250 g,Waffa Sofi,250 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
29352,Rõngu Pagar Sügislill 300 G,Rõngu Pagar,300 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
29392,Laurieri scrocchi pitsamaitselised kreekerid 175g,Laurieri,175 g,other,"Coop, Prisma, Rimi",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29632,Start padjakesed kakao täidisega 500g,Start,500 g,other,"Coop, Prisma, Rimi",,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29667,Coop Nisubaguetid haputaignaga 250g,Coop Nisubaguetid,250 g,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
29862,Vanish Oxi Action Spray eelpesuks 500ml,Vanish Oxi,500 ml,other,Prisma,,hh_other,household,other,,heuristic,household,hh_other,heuristic,
29910,"Leifheit põrandamopp Classic 42 cm, mikrofiiber",Leifheit,,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
30122,"Vileda ühekordsed kummikindad S/M 10 tk, lateks",Vileda,10 pcs,other,Prisma,,dry_other,other,other,,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
30167,Fazer Täistera Röst 250 G,Fazer Täistera,250 g,other,"Prisma, Selver",,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
30173,Kuchenmeister Mini Marmorkeeks 35 G,Kuchenmeister Mini,35 G,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
30246,Europagar Kamarull 300 g,Europagar Kamarull,300 g,other,Prisma,,dry_other,other,other,,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
