product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence
123903,"Aurutatud riis kotis 4x125 g, FIRST PRICE, 500 g",SELVER AS,,Selver,,,dry_preserves,dry_pasta_rice,high
123904,Hardys BIN 141 Colombard Char. 75 cl,LIVIKO AS,,"Coop, Selver",,,other,dry_other,fallback
123905,"Kalevi poolsuitsuvorst, RANNAROOTSI, 330 g",RANNAROOTSI LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_sausages,high
123906,"Aurutatud valged oad, BONDUELLE, 425 ml",JUNGENT ESTONIA OÜ,,"Coop, Rimi, Selver",,,dry_preserves,dry_canned_veg,high
123907,"Avokaadoõli, rafineerimata, GLORIA, 250 ml",LARINGO OÜ,,Selver,,,sauces_oils,oils_other,high
123908,"Hari+vars 3 Action, VILEDA, 1 kmpl",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,other,dry_other,fallback
123909,"Lastevorst, MAKS&MOORITS, 600 g",,,"Coop, Selver",,,meat_fish,meat_sausages,high
123910,"Caesari wrap kanaga, SELVERI KÖÖK, 200g",KULINAARIA OÜ,,Selver,,,bakery,bakery_flatbreads_wraps,high
123911,"Head ööd! Banaan-kuivik piimapuder mahe 4+, HIPP, 250 g",LTT AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_milk,high
123912,"Fuet salaami Nobleza, ELPOZO, 200 g",JUNGENT ESTONIA OÜ,,"Coop, Selver",,,other,dry_other,fallback
123913,"Smuuti roheline, GRANINI, 250 ml",,,Selver,,,produce,produce_smoothies_fresh_juices,high
123914,"Suitsuvorst juustuga, MATSIMOKA, 240 g",MATSIMOKA OÜ,,"Barbora, Coop, Maxima, Rimi, Selver",,,dairy_eggs_fats,dairy_cheese_slices,high
123915,"Täissuitsuvorst E-vaba, OSKAR, 120 g",OSKAR LT AS,,Selver,,,meat_fish,meat_sausages,high
123916,"Head ööd piimapuder küpsistega mahe 4+, HIPP, 190 g",LTT AS,,"Coop, Rimi, Selver",,,dairy_eggs_fats,dairy_milk,high
123917,"Tšilli salaami, MATSIMOKA, 150 g",MATSIMOKA OÜ,,"Coop, Rimi, Selver",,,other,dry_other,fallback
123918,"Basmati riis, FIRST PRICE, 1 kg",SELVER AS,,Selver,,,dry_preserves,dry_pasta_rice,high
123919,"Bataadikrõpsud, SNAQS, 75g",LTT AS,,Selver,,,sweets_snacks,sweets_snacks_salty,high
123920,"Bio kanapuljong, MAGGI, 80 g",SELVER AS,,Selver,,,world_spices,spices_broth_stock,high
123921,"Café Crema kohvioad, MÖVENPICK, 1 kg",SELVER AS,,Selver,,,drinks,drinks_coffee_beans_capsules,high
123922,"Cajuni maitseainesegu, SANTA MARIA, 34 g",SANTA MARIA AS,,Selver,,,world_spices,spices_herbs_spice_mix,high
123923,"California uramaki, SELVERI KÖÖK, 220 g",KULINAARIA OÜ,,Selver,,,other,dry_other,fallback
123924,"Cannelloni torud, PANZANI, 250 g",ABESTOCK AS,,Selver,,,other,dry_other,fallback
123925,"Caporale Kitsejuust trühvliga, ANDRI-PEEDO, 150 g",NOPRI TALUMEIEREI OÜ,,Selver,,,dairy_eggs_fats,dairy_cheese_slices,high
123926,"Põdra snäkk, LINNAMÄE LIHATÖÖSTUS, 85 g",LINNAMÄE LIHATÖÖSTUS AS,,"Coop, Selver",,,meat_fish,meat_other,heuristic
123927,"Saaremaa lehtkapsas ehk Kale, RAUTSI TALU, 200 g",Määramata,,"Coop, Selver",,,produce,produce_root_veg,high
123928,"Smuuti mustika ja vaarika, FROOSH, 250 ml",FAIRFOOD OÜ,,"Coop, Selver",,,produce,produce_berries,high
123929,"Salatisegu, 75 g",Määramata,,Selver,,,produce,produce_herbs_salads_sprouts,high
123930,"Täissuitsu hirvevorst Trühvline, LINNAMÄE LIHATÖÖSTUS, 230 g",LINNAMÄE LIHATÖÖSTUS AS,,Selver,,,meat_fish,meat_sausages,high
123931,"Head ööd! Piimapudrupulber beebiküpsistega ÖKO al. 6k (karbis), HIPP, 250 g",LTT AS,,"Coop, Selver",,,dairy_eggs_fats,dairy_milk,high
123932,"Head Ööd piimapudrupulber kaera-õuna mahe 6+, HIPP, 250 g",LTT AS,,Selver,,,dairy_eggs_fats,dairy_milk,high
