product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected,food_group_corrected_prev,new_sub_code_prev,confidence
256083,Dals Kitchen Köögivilja Nuudlid 300 G,Dals Kitchen,300 g,produce,Prisma,,dry_pasta_rice,dry_preserves,produce,,high
269626,HIIUMAA KÖÖKPorgandi-ananassisalat 160 g,HIIUMAA KÖÖKPorgandi-ananassisalat,160 g,produce,Prisma,,produce_tropical,produce,produce,produce_root_veg,high
368653,"Sinebrychoff Grapefruit 5,5% 7,92L",Sinebrychoff Grapefruit,7.92 l,produce,Prisma,,produce_tropical,produce,produce,,high
445158,Nutella sarapuupähkli-kakaomääre 15G,Nutella,15 g,produce,Prisma,,sweets_nuts_driedfruit,sweets_snacks,produce,,high
489702,Linnamäe Lihatööst Pikkpoiss Köögiviljadega 600G,Linnamäe Lihatööst,600 g,produce,Prisma,,meat_other,meat_fish,produce,produce_root_veg,heuristic
552713,Bevello Bellini Passionfruit aromatiseeritud veinijook 6%vol 750 ml,Bevello Bellini,750 ml,produce,Prisma,,drinks_wine,drinks,produce,,high
556086,Brait õhuvärskendi Magic Mist Exotic Fruits 250 ml,Brait,250 ml,produce,Prisma,,hh_candles_airfresh,household,produce,,high
569592,Coop Peedisalat 400 G,Coop Peedisalat,400 g,produce,Prisma,,produce_herbs_salads_sprouts,produce,produce,produce_root_veg,high
575941,Rahapuu,Rahapuu,,produce,Prisma,,dry_other,other,produce,,fallback
589618,Wõlu Vahutav Kollane Ploom Gaseeritud puuviljavein 6%vol 750ml,Wõlu Vahutav,750 ml,produce,Prisma,,drinks_wine,drinks,produce,,high
