product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason,source_file
417423,"Viigimari, kg",,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417425,"Külm.paneer.krevetid sabaga Torpedo,300g",VICI,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417429,"Külm.pannkoogid šoko.täidis. VICI ,340g",VICI,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417437,"Külm.pelmeenid lihatäidisega XXL GERMES,1kg",GERMES,,"Barbora, Maxima",,,meat_fish,meat_other,heuristic,meat_fish,meat_other,heuristic,,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417438,"Külm.pelmeenid UVIC Hiina spec.edit,400g",UVIC,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417439,Rosmariin potis Ø14cm,,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417447,"Külm. pitsa FELICIANA Speciale, 335g",DR.OETKER,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417449,Külm.pitsaRISTORANTE Prosciutto g.v.345g,DR.OETKER,,"Barbora, Maxima",,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417450,"Külm.pitsataigen EESTI PAGAR,600g",EESTI PAGAR,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
417456,"Külm.praetud sõrnikud BIMAR, 500g",BIMAR,,"Barbora, Maxima",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent,products_missing_foodgroup_unlabeled_parts12-17_uncertain_reviewed.csv
