product_id,name,brand,size_text,food_group,stores_sample,current_sub_code,new_sub_code,food_group_corrected
1688,Cirio kontsentreeritud tomatipasta 140 g,Cirio,140 g,dry_preserves,"Prisma, Selver",,dry_pasta_rice,dry_preserves
156817,Cirio pastakaste basiilikuga 420g,Cirio,420 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
20825,City Taste Jahusegu Inglise šokolaadi brownie 400 g,City Taste,400 g,dry_preserves,Prisma,,sweets_chocolate_bars,sweets_snacks
2592,"Coca-Cola zero sugar, zero caffeine karastusjook 330ml",Coca-Cola,330 ml,dry_preserves,"Coop, Prisma, Rimi",,dry_other,dry_preserves
23531,Coop basmati ja jasmiiniriis 1kg,Coop,1 kg,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
7192,Coop BBQ maitseainesegu 120 g,Coop BBQ,120 g,dry_preserves,Prisma,,spices_herbs_spice_mix,world_spices
55826,Coop blanšeeritud kartuliviilud koorekastmes 750g,Coop,750 g,dry_preserves,Prisma,,dry_other,dry_preserves
2521,COOP chillimaitselised pähklid 150g,COOP,150 g,dry_preserves,Prisma,,sweets_nuts_driedfruit,sweets_snacks
27583,Coop ekstra neitsioliiviõli 500 ml,Coop,500 ml,dry_preserves,Prisma,,oils_olive,sauces_oils
5263,Coop ekstra-väärisoliivõli 200ml spray,Coop,200 ml,dry_preserves,Prisma,,oils_other,sauces_oils
5536,Coop ekstra-väärisoliivõli 'classico' 500ml,Coop,500 ml,dry_preserves,Prisma,,oils_other,sauces_oils
21077,Coop express basmatiriis 250g,Coop,250 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
22623,Coop express riis tomati ja ürtidega 250 g,Coop,250 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
1979,Coop fajita maitseainesegu 36 g,Coop,36 g,dry_preserves,Prisma,,spices_herbs_spice_mix,world_spices
68518,Coop farfalle durumpasta 500g,Coop,500 g,dry_preserves,Prisma,,drinks_spirits,drinks
4191,Coop Fettucine Värske Pasta 300 G,Coop Fettucine,300 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
133003,Coop fusilli durumpasta tomati ja spinatiga 500g,Coop,500 g,dry_preserves,Prisma,,drinks_spirits,drinks
7877,Coop garam masala maitseainesegu 33 g,Coop,33 g,dry_preserves,Prisma,,spices_herbs_spice_mix,world_spices
18298,Coop gnocchi durumpasta 500g,Coop,500 g,dry_preserves,Prisma,,drinks_spirits,drinks
28269,Coop hapukoore- ja sibulamaitselised riisigaletid 125g,Coop,125 g,dry_preserves,Prisma,,drinks_beer_cider,drinks
28937,Coop Haputaigna leib oliivõliga 230 g,Coop Haputaigna,230 g,dry_preserves,Prisma,,oils_other,sauces_oils
70933,"Coop helbed riisi, täisteranisu, täisteraodra, täisterakaera ning külmkuivatud kirsi-, maasika- ja vaarikatükkidega 375g",Coop,375 g,dry_preserves,Prisma,,dry_pasta_rice,dry_preserves
