product_id,name,brand,size_text,current_food_group,current_sub_code,category_1,category_2,category_3,source_url,image_url,last_seen_utc,food_group,sub_code,food_group_corrected,new_sub_code,confidence,reason,food_group_corrected_prev_v4,new_sub_code_prev_v4,confidence_prev_v4,reason_prev_v4
22091,SteviaSweet magusainetabletid 300 tk,SteviaSweet,300 pcs,other,,,,,https://prismamarket.ee/toode/steviasweet-magusainetabletid-300-tk/7610211158303,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7610211158303.jpg,2025-08-28 15:43:58.486591+00,other,,bakery,bakery_buns_croissants,high,buns/croissants,,,,
22096,Paprika Duo 225g,Paprika Duo,225 g,other,,,,,https://prismamarket.ee/en/toode/paprika-duo-225g/6438574225323,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6438574225323.jpg,2025-08-28 15:44:00.771502+00,other,,other,dry_other,low,no hard rule match,,,,
22104,Canderel magusainepulbri täitepakend 90 g,Canderel,90 g,other,,,,,https://prismamarket.ee/en/toode/canderel-magusainepulbri-taitepakend-90-g/7630486404578,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7630486404578.jpg,2025-08-28 15:44:02.894782+00,other,,bakery,bakery_buns_croissants,high,buns/croissants,,,,
22105,Hermesetas suhkruasendaja hermesetas 300 tk.,Hermesetas,300 pcs,other,,,,,https://prismamarket.ee/toode/hermesetas-suhkruasendaja-hermesetas-300-tk/7610211080604,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7610211080604.jpg,2025-08-28 15:44:04.86936+00,other,,other,dry_other,low,no hard rule match,,,,
22115,Kirsstomat kollane 250g I klass,Kirsstomat,250 g,other,,,,,https://prismamarket.ee/en/toode/kirsstomat-kollane-250g-i-klass/4740199000059,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740199000059.jpg,2025-08-28 15:44:06.817072+00,other,,produce,produce_root_veg,high,fresh tomato,,,,
22116,Veski Mati Lõuna Eesti Tangud 1 kg,Veski Mati,1 kg,other,,,,,https://prismamarket.ee/en/toode/veski-mati-louna-eesti-tangud-1-kg/4740281006600,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740281006600.jpg,2025-08-28 15:44:08.767152+00,other,,produce,produce_apples_pears,high,apples/pears,,,,
22121,Chapel Hill Pinot Grigio vein 12%vol 750ml,Chapel Hill,750 ml,other,,,,,https://prismamarket.ee/en/toode/chapel-hill-pinot-grigio-vein-12vol-750ml/5015271016181,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/5015271016181.jpg,2025-11-03 02:32:23.723048+00,other,,drinks,drinks_wine,high,wine keyword,,,,
22138,Coop magusaine 300 ml,Coop,300 ml,other,,,,,https://prismamarket.ee/en/toode/coop-magusaine-300-ml/6438574211180,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6438574211180.jpg,2025-08-28 15:44:17.190712+00,other,,bakery,bakery_buns_croissants,high,buns/croissants,,,,
22142,Melon Cantaloupe,Melon Cantaloupe,,other,,,,,https://prismamarket.ee/en/toode/melon-cantaloupe/2060493600000,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/2060493600000.jpg,2025-08-28 15:44:20.834579+00,other,,other,dry_other,low,no hard rule match,,,,
22145,Umami valge šokolaadi nööbid 200 g,Umami,200 g,other,,,,,https://prismamarket.ee/toode/umami-valge-sokolaadi-noobid-200-g/4770082316387,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4770082316387.jpg,2025-08-28 15:44:22.931326+00,other,,other,dry_other,low,no hard rule match,,,,
22146,York varumopp Classic,York,,other,,,,,https://prismamarket.ee/toode/york-varumopp-classic/5903355070641,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/5903355070641.jpg,2025-08-28 15:44:25.283573+00,other,,drinks,drinks_spirits,high,spirits keyword,,,,
22154,Jõumees mesi õietolmu ja taruvaiguga 300 g,Jõumees,300 g,other,,,,,https://prismamarket.ee/en/toode/joumees-mesi-oietolmu-ja-taruvaiguga-300-g/4742422000119,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4742422000119.jpg,2025-08-28 15:44:27.614311+00,other,,other,dry_other,low,no hard rule match,,,,
22157,Baltix hernehelbed 500g,Baltix,500 g,other,,,,,https://prismamarket.ee/toode/baltix-hernehelbed-500g/4742298002750,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4742298002750.jpg,2025-08-28 15:44:30.167965+00,other,,other,dry_other,low,no hard rule match,,,,
22162,Gold ei niitpesad munamakaron 500 g,Gold,500 g,other,,,,,https://prismamarket.ee/en/toode/gold-ei-niitpesad-munamakaron-500-g/4002966008041,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4002966008041.jpg,2025-08-28 15:44:32.219856+00,other,,dry_preserves,dry_pasta_rice,high,pasta/rice,,,,
22164,"Soolahake, kg","Soolahake,",,other,,,,,https://prismamarket.ee/en/toode/soolahake-kg/2060244600006,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/2060244600006.jpg,2025-08-28 15:44:34.564854+00,other,,other,dry_other,low,no hard rule match,,,,
22167,Arimex 1go kuivatatud puuviljade ja pähklite segu 50 g,Arimex,50 g,produce,,,,,https://prismamarket.ee/toode/arimex-1go-kuivatatud-puuviljade-ja-pahklite-segu-50-g/4771249819062,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4771249819062.jpg,2025-08-28 15:44:36.551239+00,produce,,produce,produce_root_veg,low,no hard rule match,,,,
22168,Piklik paprika 180g,Piklik,180 g,other,,,,,https://prismamarket.ee/en/toode/piklik-paprika-180g/6414893391130,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6414893391130.jpg,2025-08-28 15:44:38.55841+00,other,,other,dry_other,low,no hard rule match,,,,
22186,Rainbow Valge sibul 3tk,Rainbow Valge,3 pcs,other,,,,,https://prismamarket.ee/en/toode/rainbow-valge-sibul-3tk/6414894500197,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/6414894500197.jpg,2025-08-28 15:44:42.812058+00,other,,produce,produce_root_veg,high,veg keyword,,,,
22196,KAHEKSAJALG ÕRNSUITSUMAITSELINE 100G,KAHEKSAJALG ÕRNSUITSUMAITSELINE,100 g,other,,,,,https://prismamarket.ee/en/toode/kaheksajalg-ornsuitsumaitseline-100g/4740173001744,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/4740173001744.jpg,2025-08-28 15:44:46.225652+00,other,,other,dry_other,low,no hard rule match,,,,
22197,"FIT Smoothie batoon peet-mustsõstar 32 g, gluteenivaba",FIT Smoothie,32 g,other,,,,,https://prismamarket.ee/toode/fit-smoothie-batoon-peet-mustsostar-32-g-gluteenivaba/8594002314538,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/8594002314538.jpg,2025-08-28 15:44:47.951064+00,other,,other,dry_other,low,no hard rule match,,,,
22204,"Kalles Kaviar MSC, ABBA, 190 g",Kalles,190 g,other,,,,,https://prismamarket.ee/en/toode/kalles-kaviar-msc-kaviar-190-g/7350126088011,https://pub-456e0394f08c44ad9eaf480b72ed7253.r2.dev/products/prisma/7350126088011.jpg,2025-08-28 15:44:50.488931+00,other,,other,dry_other,low,no hard rule match,,,,
