product_id,name,brand,size_text,stores_sample,current_food_group,current_sub_code,food_group_corrected,new_sub_code,confidence,final_food_group,final_sub_code,final_confidence,change_reason
380200,Imavad linad Kindii Pure&Soft 60x60cm 10tk,Kindii,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380205,"Funktsionaalne jook Nocco Blood Orange 0,33l",Nocco,,Rimi,,,other,dry_other,fallback,produce,produce_tropical,high,proposed_group_invalid;override_with_name_rules
380208,Piprasalaami viil Oskar 80g,Oskar,,"Barbora, Maxima, Rimi",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380214,Konstruktor Lego Bugatti Bolide 42151,Lego,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380220,"Roosikimp 40cm, 11vart",Määramata,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380221,Kohvijook Frezza Forte 250ml,Paulig,,,,,drinks,drinks_other,heuristic,drinks,drinks_other,heuristic,
380229,Kohvijook mandlitega Alpro 250ml,Alpro,,Rimi,,,drinks,drinks_other,heuristic,drinks,drinks_other,heuristic,
380232,Vanilliplombiir Vana Toomas 90g/150ml,Vana Toomas,,"Barbora, Maxima, Rimi",,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380239,Mänguasi Mõõk pehme Gerardo's Toys,Gerardos Toys,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380240,Toscana köögiviljasegu kastmega Rimi Planet 450g,Rimi Planet,,Rimi,,,sauces_oils,sauces_other,heuristic,sauces_oils,sauces_other,heuristic,
380241,"Liköör Fireball 33%vol 0,5l",Fireball,,Rimi,,,other,dry_other,fallback,drinks,drinks_spirits,high,proposed_group_invalid;override_with_name_rules
380265,Oliivide segu marineeritud kivideta Gaea 150g,Gaea,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380272,Mänguasi Printsessi Kroon,Gerardos Toys,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380273,Merevetika snäkk Samlip 12g,Samlip,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380275,Konstruktor Lego Draakoni Spinjitzu Lahingukomplekt 71826,Lego,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380277,Mahe br. kotletid külm. Kikerikii 300g,Kikerikii,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380280,Vegantoode punase kaaviari maitseline Atlantika 110g,Atlantika,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380297,Konstruktor Lego Kosmosesüstik 31134,Lego,,Rimi,,,other,dry_other,fallback,household,hh_other,low_oos,proposed_group_invalid;override_with_name_rules
380304,Mesi Meveda 500g,Meveda,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380313,Automudelid Scania veoautod ja töömasinad Welly,Welly,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
380318,"Vermut Bellissimo Bianco 14,5% 1l",Bellissimo,,Rimi,,,other,dry_other,fallback,dry_preserves,dry_other,medium,proposed_group_invalid;align_group_to_sub_parent
