left_chain,left_ext_id,left_name,left_brand,left_size_text,right_chain,right_ext_id,right_name,right_brand,right_size_text,match_reason,match_score
Barbora,https-barbora-ee-toode-vahukoor-tere-35-proc-laktoosivaba-400-ml,"Vahukoor TERE 35% laktoosivaba, 400ml",TERE,,Selver,4.74004E+12,"Vahukoor 35% laktoosivaba, TERE, 400 ml",Tere,,medium,0.75
Barbora,https-barbora-ee-toode-karastusjook-fanta-apelsini-500-ml,Karastusjook FANTA apelsini 500ml,FANTA,,Selver,54491625,"Karastusjook Fanta apelsini, FANTA, 500 ml",COCA-COLA HBC EESTI AS,,medium,0.75
Barbora,000000000000014334,Lahustuv kohv Cronat Gold JACOBS 200g,JACOBS,,Selver,8.711E+12,"Lahustuv kohv Cronat Gold, JACOBS, 200 g",SELVER AS,,medium,0.8333
Barbora,https-barbora-ee-toode-koorejogurt-muah-troopiline-alma-180-g,Koorejogurt Muah troopiline ALMA 180g,ALMA,,Selver,4.74013E+12,"Koorejogurt muah troopiline, ALMA, 180 g",VALIO EESTI AS,,medium,0.8
Barbora,https-barbora-ee-toode-juust-taispiimast-eesti-viilutatud-450-g,"Juust tÃ¤ispiimast EESTI viilutatud, 450g",ESTOVER,,Selver,4.74057E+12,"Eesti juust tÃ¤ispiimast, viilutatud, 450 g",Eesti,,medium,0.8
Barbora,https-barbora-ee-toode-nakileivad-finn-crisp-traditional-200-g,NÃ¤kileivad FINN CRISP Traditional 200g,FINN CRISP,,Selver,6.4105E+12,Finn Crisp Traditional nÃ¤kileivad 200 g,Finn Crisp,,medium,0.8
Barbora,000000000000140153,Rumm BACARDI Carta Blanca 37.5% 1L,BACARDI,,Selver,5.01068E+12,"Bacardi Carta Blanca rumm 37,5%vol 1L",Bacardi Carta,,medium,0.8333
Barbora,https-barbora-ee-toode-toorvorstid-laste-rannarootsi-400-g,"Toorvorstid Laste RANNAROOTSI, 400g",RANNAROOTSI,,Selver,4.7403E+12,"Toorvorstid laste, RANNAROOTSI, 400 g",Laste,400 g,medium,0.75
Barbora,https-barbora-ee-toode-koorejogurt-alma-muah-creme-brulee-380-g,"Koorejogurt ALMA Muah creme brulee,380g",ALMA,,Selver,4.74013E+12,"Alma Muah! creme-brulee koorejogurt, 380 g",Alma Muah!,380 g,medium,0.8333
Barbora,https-barbora-ee-toode-keefirirost-kaltsiumiga-fazer-450-g,KeefirirÃ¶st kaltsiumiga FAZER 450g,FAZER,,Selver,4.7401E+12,Fazer KeefirirÃ¶st Kaltsiumiga 450 G,Fazer KeefirirÃ¶st,450 G,medium,0.75
